Moneyness,Price % European Double KO,Delta % European Double KO,Vega European Double KO
1.216,0.051248002,-0.032922878,-0.382111719
1.218,0.051082256,-0.033104189,-0.370717337
1.22,0.050916854,-0.033396117,-0.3557294
1.222,0.050774981,-0.033679556,-0.341669178
1.224,0.05058724,-0.03390901,-0.325284646
1.226,0.050446052,-0.034148101,-0.314439158
1.228,0.05025909,-0.034388288,-0.301295827
1.23,0.050072253,-0.034590907,-0.288001418
1.232,0.049885745,-0.034878896,-0.27457721
1.234,0.049722665,-0.03512091,-0.262103455
1.236,0.049582937,-0.03530108,-0.246932305
1.238,0.049420445,-0.03559984,-0.234172731
1.24,0.049258075,-0.035844312,-0.221273596
1.242,0.049072959,-0.036034398,-0.207173184
1.244,0.04891112,-0.036239506,-0.197686589
1.246,0.048726464,-0.036527012,-0.183296215
1.248,0.04856515,-0.036767643,-0.169827751
1.25,0.04840393,-0.036967552,-0.156213457
1.252,0.048243024,-0.037209864,-0.142455706
1.254,0.048058949,-0.037417335,-0.131301293
1.256,0.047921399,-0.037661625,-0.118320365
1.258,0.047737677,-0.037857885,-0.103082297
1.26,0.047554101,-0.038060569,-0.091550047
1.262,0.047393851,-0.03826374,-0.080928136
1.264,0.04723367,-0.038511721,-0.066289068
1.266,0.047073532,-0.038711027,-0.055411203
1.268,0.046867327,-0.038966085,-0.042346648
1.27,0.046707218,-0.039166851,-0.031236877
1.272,0.046570407,-0.039327758,-0.017059084
1.274,0.046410473,-0.039580398,-0.005681852
1.276,0.046250495,-0.039783435,0.009836922
1.278,0.046044388,-0.039991469,0.01950308
1.28,0.045884519,-0.040250959,0.031292365
1.282,0.045701514,-0.040401366,0.040149471
1.284,0.045541681,-0.040611434,0.056259211
1.286,0.045405064,-0.040822085,0.06741927
1.288,0.045222206,-0.040974621,0.080733202
1.29,0.045016131,-0.041234681,0.09518386
1.292,0.044832829,-0.041395588,0.104590968
1.294,0.044695859,-0.041605655,0.116277026
1.296,0.044512514,-0.041819337,0.130095738
1.298,0.044352149,-0.041978661,0.138838011
1.3,0.044145506,-0.042190868,0.149682258
1.302,0.044008186,-0.042353611,0.161919099
1.304,0.043847448,-0.042567646,0.175287158
1.306,0.043709867,-0.042727471,0.187819896
1.308,0.043502603,-0.042944691,0.199094114
1.31,0.043364585,-0.04316104,0.211885889
1.312,0.043180139,-0.043271131,0.222414378
1.314,0.043018678,-0.043489059,0.232068143
1.316,0.042856858,-0.043653982,0.24621713
1.318,0.042718135,-0.043873526,0.25955992
1.32,0.042509727,-0.044040289,0.267051761
1.322,0.042347385,-0.044206782,0.277170429
1.324,0.04216173,-0.044374292,0.288361313
1.326,0.042022197,-0.044542751,0.29776817
1.328,0.041859046,-0.044711329,0.312722491
1.33,0.041695826,-0.044880687,0.323311687
1.332,0.041509174,-0.045105868,0.334926834
1.334,0.041368417,-0.045221259,0.344805712
1.336,0.041157987,-0.045392592,0.352985674
1.338,0.041039902,-0.045564526,0.366741595
1.34,0.040851995,-0.045737027,0.378786533
1.342,0.040710039,-0.045910916,0.389118225
1.344,0.040544698,-0.046083402,0.400474095
1.346,0.040379037,-0.04625896,0.407282818
1.348,0.040189842,-0.046433537,0.41507605
1.35,0.040023602,-0.046552185,0.426763374
1.352,0.039857024,-0.046784763,0.438551475
1.354,0.039689879,-0.046906103,0.450467152
1.356,0.039522309,-0.047085125,0.457741819
1.358,0.039377589,-0.047203593,0.469006126
1.36,0.039209301,-0.047326956,0.481233232
1.362,0.039063693,-0.047505673,0.492727139
1.364,0.038894649,-0.047685011,0.500366919
1.366,0.038748362,-0.047812931,0.512081363
1.368,0.038555301,-0.047990443,0.52072751
1.37,0.038408068,-0.048116803,0.532650945
1.372,0.03823744,-0.048243798,0.540629381
1.374,0.038066336,-0.04836786,0.553591613
1.376,0.037917835,-0.048550692,0.560915942
1.378,0.037745835,-0.048679132,0.569159736
1.38,0.037573539,-0.0488082,0.572543156
1.382,0.037400756,-0.048933957,0.585912267
1.384,0.037250533,-0.049127913,0.593592674
1.386,0.037099984,-0.049250085,0.60637844
1.388,0.036972086,-0.04938166,0.613460965
1.39,0.036774491,-0.049513729,0.622987015
1.392,0.03662264,-0.049646196,0.631020031
1.394,0.036470473,-0.049714228,0.639138559
1.396,0.036294687,-0.049848131,0.653192099
1.398,0.036164602,-0.049982327,0.660726616
